date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:13	149/149	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Sep%202020%2013:29:14%20GMT	http://goindex-quick-install.glitch.me/robots.txt		(from )
10:29:14	12822/12822	---M--	200	added ('OK')	text/html	etag:W/%223216-172760cb1f8%22	http://goindex-quick-install.glitch.me/	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/goindex-quick-install.glitch.me/index.html	(from )
10:29:14	7055/7055	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%227918-USx9eQM+MCipvmG1QM8aaHDIlvg%22	https://cdn.jsdelivr.net/npm/font-awesome@latest/css/font-awesome.min.css	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/cdn.jsdelivr.net/npm/font-awesome@latest/css/font-awesome.min.css	(from http://goindex-quick-install.glitch.me/)
10:29:14	25497/25497	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%222f8be-CjmNUSv9q4nO8NPMo8YZwmGsVOE%22	https://cdn.jsdelivr.net/npm/bulma@0.8.2/css/bulma.min.css	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/cdn.jsdelivr.net/npm/bulma@0.8.2/css/bulma.min.css	(from http://goindex-quick-install.glitch.me/)
10:29:38	2495/2495	---M--	200	added ('OK')	application/javascript	etag:W/%229bf-1743a7bec10%22	http://goindex-quick-install.glitch.me/script.js	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/goindex-quick-install.glitch.me/script.js	(from http://goindex-quick-install.glitch.me/)
10:29:38	12753/12753	---M--	200	added ('OK')	text/html	etag:W/%2231d1-172760cdcf0%22	http://goindex-quick-install.glitch.me/zh	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/goindex-quick-install.glitch.me/zh.html	(from http://goindex-quick-install.glitch.me/)
10:29:39	33414/33414	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%222edc5e4ae35d1e9054a766840ef08fb9%22	https://github.com/Aicirou/goindex-theme-acrou	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/github.com/Aicirou/goindex-theme-acrou.html	(from http://goindex-quick-install.glitch.me/)
10:29:40	598/598	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2030%20Sep%202020%2013:29:40%20GMT	https://accounts.google.com/o/oauth2/auth?client_id=202264815644.apps.googleusercontent.com&redirect_uri=urn%3Aietf%3Awg%3Aoauth%3A2.0%3Aoob&response_type=code&access_type=offline&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive&approval_prompt=auto	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/accounts.google.com/o/oauth2/auth.8db6b.delayed	(from http://goindex-quick-install.glitch.me/)
10:29:40	610/610	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2030%20Sep%202020%2013:29:41%20GMT	https://accounts.google.com/AccountChooser?oauth=1&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Flegacy%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAMvrwd2B2GuV5nKH0MJpsMM-usIkOHD_UthHOFNT7ThfbBF8HtFgl16hbOwLpjxdJ4iP_qztztsSc5BvoB5mQLPrxNn9LKfLLbdEuxjhVSMquGo2gBvv3CYTS6uEDGSDj08RJrmDNDzezyL_xKFIEtEayUUsIjWgDHOBAyz1UIQU8Lmrp2go0kiP3cqTzOWmGk9eaSFbbnuFJSQeAerh9EQ6wMhWBPLkTQr69D_SmElmr1MLSYiipwmgVO6QEFvAwJoMce3CyIQhaNnRPPOxlTx-u2mU3wy4rFakvHLNYZivXGotuNEygt6D6ly1tv6cXh1JeObrpRBXrM_1a4W75paBD15QR8737CMefX_IKR23K5AY9E%26as%3DS-385086993%253A1601472580662986%23	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/accounts.google.com/AccountChooser.94454.delayed	(from http://goindex-quick-install.glitch.me/)
10:29:40	2334/2334	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	etag:%22d3926d18141c04fc54a6768cf4c38344%22	https://glitch.com/edit/	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/glitch.com/edit/index.html	(from http://goindex-quick-install.glitch.me/)
10:29:53	20588/20588	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2030%20Sep%202020%2013:29:42%20GMT	https://workers.cloudflare.com/	C:/Users/F%c3%aanix/Desktop/fenixgoindes/Fenix/workers.cloudflare.com/index.html	(from http://goindex-quick-install.glitch.me/)
